date,nav
19-06-2026,202.07610
18-06-2026,200.95650
17-06-2026,199.83020
16-06-2026,198.61520
15-06-2026,198.03200
12-06-2026,196.55770
11-06-2026,192.67220
10-06-2026,193.43710
09-06-2026,194.38130
08-06-2026,191.90920
05-06-2026,194.75470
04-06-2026,194.52200
03-06-2026,194.08100
02-06-2026,193.12950
01-06-2026,192.31950
31-05-2026,193.68360
29-05-2026,193.68480
27-05-2026,195.05010
26-05-2026,194.22580
25-05-2026,193.55990
22-05-2026,192.12270
21-05-2026,191.75750
20-05-2026,189.86610
19-05-2026,189.55530
18-05-2026,187.91260
15-05-2026,190.24050
14-05-2026,189.93450
13-05-2026,190.46400
12-05-2026,190.61520
11-05-2026,195.58600
08-05-2026,196.88210
07-05-2026,197.47530
06-05-2026,196.00360
05-05-2026,194.56180
04-05-2026,195.44690
30-04-2026,193.41310
29-04-2026,194.15230
28-04-2026,193.48430
27-04-2026,193.83170
24-04-2026,191.04250
23-04-2026,193.03170
22-04-2026,194.19280
21-04-2026,192.63970
20-04-2026,191.05830
17-04-2026,190.52420
16-04-2026,188.33160
15-04-2026,187.27860
13-04-2026,184.34910
10-04-2026,184.69670
09-04-2026,181.24550
08-04-2026,180.57830
07-04-2026,174.83420
06-04-2026,174.91510
02-04-2026,173.84710
01-04-2026,173.78200
31-03-2026,169.37060
30-03-2026,169.37080
27-03-2026,172.47390
25-03-2026,175.42110
24-03-2026,172.00490
23-03-2026,169.10910
20-03-2026,174.62050
19-03-2026,173.90040
18-03-2026,177.49080
17-03-2026,174.06280
16-03-2026,173.81980
13-03-2026,173.97540
12-03-2026,177.98880
11-03-2026,178.38910
10-03-2026,178.84190
09-03-2026,175.77420
06-03-2026,178.97840
05-03-2026,179.32390
04-03-2026,177.99610
02-03-2026,181.31750
28-02-2026,184.75790
27-02-2026,184.75810
26-02-2026,186.09500
25-02-2026,186.04880
24-02-2026,186.20800
23-02-2026,187.57210
20-02-2026,186.22280
19-02-2026,186.66660
18-02-2026,188.21280
17-02-2026,187.64370
16-02-2026,185.84710
13-02-2026,187.23600
12-02-2026,189.60290
11-02-2026,189.74640
10-02-2026,189.01900
09-02-2026,188.46900
06-02-2026,184.62700
05-02-2026,185.69490
04-02-2026,186.77740
03-02-2026,186.70090
02-02-2026,180.54240
31-01-2026,183.30100
30-01-2026,183.30210
29-01-2026,179.94080
